manifest_index,question_id,image,image_id,subset,issimple,data_source,question,ground_truth,baseline_prediction,selected_alpha,selected_score,post_prediction,baseline_correct,post_correct,repair,break_case,hook_calls,score_alpha_0,score_alpha_1p5,score_alpha_2,score_alpha_4,baseline_expected_numeral,post_expected_numeral,baseline_entropy,post_entropy,baseline_top1_prob,post_top1_prob,baseline_conditional_margin,post_conditional_margin,feature__baseline_best_numeral,feature__baseline_entropy,feature__baseline_entropy_norm,feature__baseline_expected_numeral,feature__baseline_top1_prob,feature__baseline_conditional_margin,feature__baseline_vocab_numeral_mass,feature__baseline_numprob_0,feature__baseline_numprob_1,feature__baseline_numprob_2,feature__baseline_numprob_3,feature__baseline_numprob_4,feature__baseline_numprob_5,feature__baseline_numprob_6,feature__baseline_numprob_7,feature__baseline_numprob_8,feature__baseline_numprob_9,feature__baseline_numprob_10,feature__baseline_numprob_11,feature__baseline_numprob_12,feature__baseline_numprob_13,feature__baseline_numprob_14,feature__baseline_numprob_15,feature__geom_top2_prob,feature__geom_expected_minus_pred,feature__geom_p_down1,feature__geom_p_up1,feature__geom_p_down2,feature__geom_p_up2,feature__geom_local_asymmetry,feature__geom_up_mass,feature__geom_down_mass,feature__geom_signed_tail_mass,feature__geom_up_distance_mass,feature__geom_down_distance_mass,feature__geom_signed_distance_mass,feature__geom_up_boundary_gap,feature__geom_down_boundary_gap,feature__geom_up_down_logratio
0,30126858,VG_100K/2372864.jpg,92372864,simple,True,imported_genome,How many elephants are in the picture?,1,1,4.0,0.32404670977608596,1,True,True,False,False,1,0.03926046620935058,-0.03491858890791573,0.105443663944439,0.32404670977608596,1.0852134336009596,1.2018920737959302,0.29154565790717585,0.5032783361343932,0.9148645993235817,0.7981632590579399,0.8297689359205804,0.5963559832515313,1.0,0.29154565790717585,0.1051528687138482,1.0852134336009596,0.9148645993235817,0.8297689359205804,0.9405969651299415,4.377734505666408e-06,0.9148645993235817,0.08509566340300126,2.223197025329642e-05,2.8264778326760526e-06,2.201263149422077e-06,2.3432324251798772e-06,1.6104785235414984e-06,9.768046013366528e-07,3.375746372965854e-07,7.607361884287367e-07,1.1068646229531862e-06,5.228458262953796e-07,9.085698105195455e-08,1.8069068259115033e-07,1.6974318755481013e-07,0.08509566340300126,0.08521343360095956,4.377734505666408e-06,0.08509566340300126,0.0,2.223197025329642e-05,0.0850912856684956,0.08513102294191291,4.377734505666408e-06,0.08512664520740724,0.08521781133546519,4.377734505666408e-06,0.08521343360095952,0.8297689359205804,0.914860221589076,9.874999771583123
1,30110081,VG_100K_2/2399228.jpg,92399228,simple,True,imported_genome,How many trucks are there?,1,1,4.0,0.13624183450771796,1,True,True,False,False,1,0.08625409068117768,-0.02233969691845126,0.06036511496276673,0.13624183450771796,1.0009065452833563,1.0012559173108728,0.007062424848224363,0.009526284136660783,0.9991540992797744,0.998794291720212,0.9983500469938826,0.9976248238386742,1.0,0.007062424848224363,0.0025472313262960697,1.0009065452833563,0.9991540992797744,0.9983500469938826,0.9608146397111383,6.1390149596733105e-06,0.9991540992797744,0.0008040522858917595,2.1427267630248627e-05,6.1390149596733105e-06,2.4040728004611103e-06,2.8998653337264014e-06,1.0668008384437065e-06,4.1776521087808227e-07,2.6972949279627135e-07,1.7415044955805534e-07,3.4633952438070556e-07,3.056435575085946e-07,7.727879354079785e-08,9.92279350773489e-08,8.226284751603657e-08,0.0008040522858917595,0.0009065452833563192,6.1390149596733105e-06,0.0008040522858917595,0.0,2.1427267630248627e-05,0.0007979132709320861,0.0008397617052655685,6.1390149596733105e-06,0.0008336226903058951,0.0009126842983170757,6.1390149596733105e-06,0.0009065452833574023,0.9983500469938826,0.9991479602648147,4.874999838351131
2,30115178,VG_100K_2/2391260.jpg,92391260,simple,True,imported_genome,How many horses are there?,1,2,1.0,-0.025057710760642123,2,False,False,False,False,0,-0.21485308267468822,-0.028977854664241104,-0.025057710760642123,-0.14562061987905925,1.593175240247502,1.593175240247502,0.6786451485158358,0.6786451485158358,0.5924859623312609,0.5924859623312609,0.18527671258683348,0.18527671258683348,2.0,0.6786451485158358,0.2447694975717876,1.593175240247502,0.5924859623312609,0.18527671258683348,0.9300180757491603,3.640359568929286e-06,0.40720924974442746,0.5924859623312609,0.00025520890866999844,3.048035749056807e-05,4.674314212387633e-06,4.674314212387633e-06,1.948544063187865e-06,1.719584100312893e-06,3.386061858471086e-07,5.942723633465323e-07,3.8369107569150944e-07,6.325996378704045e-07,1.3260008760529764e-07,2.1862058493155464e-07,1.4115205850786207e-07,0.40720924974442746,-0.4068247597524981,0.40720924974442746,0.00025520890866999844,3.640359568929286e-06,3.048035749056807e-05,-0.4069540408357575,0.0003011475647426428,0.40721289010399636,-0.4069117425392537,0.0003917707110667335,0.4072165304635653,-0.4068247597524986,0.5922307534225909,0.18527671258683348,-7.374999996084097
3,30147082,VG_100K/2338784.jpg,92338784,simple,True,imported_genome,How many children are in the picture?,2,2,1.0,0.020251527033034615,2,True,True,False,False,0,0.020251527033034615,-0.025933206957240676,0.016823459289017087,-0.04431245690370429,2.0000046866182264,2.0000046866182264,0.0015107619626673378,0.0015107619626673378,0.999860134920837,0.999860134920837,0.9997852935601065,0.9997852935601065,2.0,0.0015107619626673378,0.0005448921978759614,2.0000046866182264,0.999860134920837,0.9997852935601065,0.9676227314371229,3.0585953544955265e-07,7.484136073058787e-05,0.999860134920837,5.8286510343111315e-05,3.2882998987053288e-06,1.209697929139827e-06,6.892651031364384e-07,3.689370237330992e-07,3.0585953544955265e-07,9.929805284877591e-08,1.2750122368543085e-07,9.929805284877591e-08,1.5379583284755753e-07,2.8449368460050964e-08,4.139358686068399e-08,1.955294593096706e-08,7.484136073058787e-05,4.686618226390493e-06,7.484136073058787e-05,5.8286510343111315e-05,3.0585953544955265e-07,3.2882998987053288e-06,-1.6554850387476553e-05,6.471785889675782e-05,7.514722026603742e-05,-1.0429361369279598e-05,8.013969802788079e-05,7.545307980148698e-05,4.6866182263938136e-06,0.9998018484104939,0.9997852935601065,-0.24999999620496727
4,30096474,VG_100K_2/2410015.jpg,92410015,simple,True,imported_genome,How many signs are there?,1,1,4.0,1.5620394334892296,1,True,True,False,False,1,-0.2528884601361444,1.0597451752522673,0.9150195291088214,1.5620394334892296,1.0163541818500543,1.0139266512803475,0.05378152539807386,0.05924306785476381,0.9923628419361039,0.9907595718984576,0.9877672902609197,0.9831950292187756,1.0,0.05378152539807386,0.01939758499581125,1.0163541818500543,0.9923628419361039,0.9877672902609197,0.9632968589351094,1.0701073756105427e-05,0.9923628419361039,0.004595551675184195,0.0004274528917084668,0.00033290064678869044,0.0019157109528542362,0.00020191444891550674,5.7849458169674497e-05,2.732614913354467e-05,1.2907958865899362e-05,1.556997044232955e-05,1.0052728472615905e-05,1.2125905172884878e-05,3.4741299983033107e-06,4.748572694251022e-06,8.871501739607508e-06,0.004595551675184195,0.016354181850054328,1.0701073756105427e-05,0.004595551675184195,0.0,0.0004274528917084668,0.004584850601428089,0.007626456990140206,1.0701073756105427e-05,0.007615755916384101,0.016364882923809998,1.0701073756105427e-05,0.016354181850053894,0.9877672902609197,0.9923521408623478,6.06249990676904
5,30107040,VG_100K_2/2403925.jpg,92403925,simple,True,imported_genome,How many cats are there?,2,2,1.0,0.07692070149821582,2,True,True,False,False,0,-0.001967237905518983,0.025069948266338606,0.056156070011940375,0.07692070149821582,2.0000037705704377,2.0000037705704377,0.00021402456555087208,0.00021402456555087208,0.9999837021277648,0.9999837021277648,0.9999758129315168,0.9999758129315168,2.0,0.00021402456555087208,7.71930448371645e-05,2.0000037705704377,0.9999837021277648,0.9999758129315168,0.9934415602461599,2.1023995871835376e-07,7.889196247992166e-06,0.9999837021277648,6.962191252735099e-06,5.368665422467732e-07,1.6373504448275373e-07,1.2751698085939992e-07,8.764105380845918e-08,9.9310324548202e-08,2.8452884360802167e-08,7.265698555522792e-08,3.2241341898732275e-08,5.658531724601926e-08,8.677639450173043e-09,1.621196482284016e-08,6.348696644110542e-09,7.889196247992166e-06,3.770570437655607e-06,7.889196247992166e-06,6.962191252735099e-06,2.1023995871835376e-07,5.368665422467732e-07,-9.270049952570671e-07,8.198436028658593e-06,8.09943620671052e-06,9.899982194807414e-08,1.208024660316166e-05,8.309676165428874e-06,3.7705704377327853e-06,0.999976739936512,0.9999758129315168,-0.1249999831226867
6,30165648,VG_100K_2/2415454.jpg,92415454,simple,True,imported_genome,How many planes?,1,1,0.0,0.1126177890832745,1,True,True,False,False,1,0.1126177890832745,-0.07770972935373806,0.012477072238351811,-0.01629052127232036,1.0024320621180842,1.0030995335625663,0.015476839927894882,0.01914304469332505,0.9980182441146731,0.9974641685055771,0.9963180004774272,0.9952822244962655,1.0,0.015476839927894882,0.005582090053151562,1.0024320621180842,0.9980182441146731,0.9963180004774272,0.922154552656707,1.0762058381159742e-05,0.9980182441146731,0.0017002436372458827,0.00017920436093195983,4.530995818448462e-05,1.4709989720496584e-05,1.888800068033302e-05,5.760514742904336e-06,2.721074491119514e-06,1.065588081329109e-06,7.796008943196415e-07,8.834035474078161e-07,7.796008943196415e-07,2.0982673417213785e-07,2.5309935389564765e-07,1.8517144298635295e-07,0.0017002436372458827,0.0024320621180842217,1.0762058381159742e-05,0.0017002436372458827,0.0,0.00017920436093195983,0.001689481578864723,0.0019709938269456113,1.0762058381159742e-05,0.0019602317685644514,0.0024428241764657918,1.0762058381159742e-05,0.002432062118084632,0.9963180004774272,0.998007482056292,5.062499907669128
7,30127877,VG_100K/2371122.jpg,92371122,simple,True,imported_genome,How many mugs are on the countertop?,2,2,1.0,0.06130924789320976,2,True,True,False,False,0,0.06130924789320976,-0.08909036942261322,-0.021671057372007037,-0.16865388129162767,2.0000082873769713,2.0000082873769713,0.00016644406606232528,0.00016644406606232528,0.999987741703806,0.999987741703806,0.9999812013039766,0.9999812013039766,2.0,0.00016644406606232528,6.003200717337793e-05,2.0000082873769713,0.999987741703806,0.9999812013039766,0.9333835220176319,2.535988222873811e-07,3.7266074896602753e-06,0.999987741703806,6.540399829391395e-06,1.003002798988893e-06,1.7429575167213405e-07,1.6373570591369645e-07,8.233148337476993e-08,1.5381546098431214e-07,3.0288060094726254e-08,4.4068867403266844e-08,2.3588364919486577e-08,3.224147214220723e-08,6.348722290571381e-09,1.8370637070670202e-08,5.602727756799022e-09,6.540399829391395e-06,8.287376971338745e-06,3.7266074896602753e-06,6.540399829391395e-06,2.535988222873811e-07,1.003002798988893e-06,2.8137923397311194e-06,8.278089882002927e-06,3.980206311947656e-06,4.297883570055271e-06,1.2521182105289474e-05,4.2338051342350375e-06,8.287376971054436e-06,0.9999812013039766,0.9999840150963163,0.5624998845553
8,30111369,VG_100K_2/2397195.jpg,92397195,simple,True,imported_genome,How many snowboarders are there?,1,1,1.0,0.05768281144713828,1,True,True,False,False,0,0.05768281144713828,-0.053305689583359545,-0.0011824876904997627,-0.042751552488416056,1.000118400236048,1.000118400236048,0.001244620705839494,0.001244620705839494,0.999890741193641,0.999890741193641,0.9998246919028675,0.9998246919028675,1.0,0.001244620705839494,0.0004489020300255898,1.000118400236048,0.999890741193641,0.9998246919028675,0.9562420754264309,2.4298176179512538e-05,0.999890741193641,6.604929077346535e-05,6.96154403038435e-06,3.7262460024013757e-06,1.9945157582585372e-06,2.5610089275881848e-06,1.136440822710888e-06,6.082929381915265e-07,3.4659486858664074e-07,3.6894831709984265e-07,4.450366205587943e-07,3.9274343917985187e-07,1.0570546264259943e-07,1.4448223692923426e-07,1.1977998147417475e-07,6.604929077346535e-05,0.00011840023604792194,2.4298176179512538e-05,6.604929077346535e-05,0.0,6.96154403038435e-06,4.175111459395282e-05,8.496063017947136e-05,2.4298176179512538e-05,6.0662453999958826e-05,0.00014269841222760694,2.4298176179512538e-05,0.0001184002360480944,0.9998246919028675,0.9998664430174614,0.9999999739848563
9,30155572,VG_100K/2324651.jpg,92324651,simple,True,imported_genome,How many pans are there?,1,1,1.0,0.08280166784632767,1,True,True,False,False,0,0.0544969375833062,-0.012266710704704918,0.04190750977211534,0.08280166784632767,1.0003375337548854,1.0003375337548854,0.0025745209551357433,0.0025745209551357433,0.9997517318614717,0.9997517318614717,0.9995722162351238,0.9995722162351238,1.0,0.0025745209551357433,0.0009285621536597636,1.0003375337548854,0.9997517318614717,0.9995722162351238,0.9704716357671188,1.6697554290080207e-05,0.9997517318614717,0.00017951562634787815,2.1440084104986425e-05,1.6697554290080207e-05,3.499997516774477e-06,5.420902199124538e-06,1.6532817616008715e-06,1.0674389331477122e-06,4.1801509235452354e-07,5.042224491125312e-07,4.1801509235452354e-07,5.042224491125312e-07,1.125072358209126e-07,1.742546156550049e-07,1.4446215035533331e-07,0.00017951562634787815,0.0003375337548854329,1.6697554290080207e-05,0.00017951562634787815,0.0,2.1440084104986425e-05,0.00016281807205779795,0.00023157058423835776,1.6697554290080207e-05,0.00021487302994827756,0.0003542313091754242,1.6697554290080207e-05,0.00033753375488534395,0.9995722162351238,0.9997350343071816,2.3749999456815374
