alpha,rank,row_index,pipeline_score,best_nonnoop_score,best_nonnoop_action,manifest_index,question_id,subset,image,ground_truth,baseline_prediction,baseline_correct,selected_alpha,post_prediction,post_correct
0.0,1,34,38.12073734809155,67.45717008601893,4.0,34,30126430,simple,VG_100K/2373536.jpg,2,6,False,4.0,6,False
0.0,2,2532,6.384463072776554,47.016798286718526,4.0,2532,92338897333,complex,VG_100K/2338897.jpg,0,0,True,4.0,0,True
0.0,3,954,6.268422410491363,47.38885503884866,4.0,954,30097492,simple,VG_100K_2/2409517.jpg,0,0,True,4.0,0,True
0.0,4,2150,6.2602499352282175,47.6697465102222,4.0,2150,924090311263,complex,VG_100K_2/2409031.jpg,0,0,True,4.0,0,True
0.0,5,3569,6.2515028777216575,46.46153813555889,4.0,3569,9231782015098,complex,VG_100K/2317820.jpg,0,0,True,4.0,0,True
0.0,6,3401,6.250537696554541,47.23656575059415,4.0,3401,924021842973,complex,VG_100K_2/2402184.jpg,0,0,True,4.0,0,True
0.0,7,2249,6.228024098224166,46.944325916780144,4.0,2249,923610492740,complex,VG_100K/2361049.jpg,0,0,True,4.0,0,True
0.0,8,1574,6.2192377468844,47.86165259477907,4.0,1574,30151703,simple,VG_100K/2331128.jpg,0,0,True,4.0,0,True
0.0,9,2389,6.2087410581392595,46.424335336044216,4.0,2389,923438478762,complex,VG_100K/2343847.jpg,0,0,True,4.0,0,True
0.0,10,854,6.204701757381626,47.805061610340466,4.0,854,30146119,simple,VG_100K/2340369.jpg,0,0,True,4.0,0,True
0.0,11,2246,6.159742251647749,47.81898471662831,4.0,2246,9232974610355,complex,VG_100K/2329746.jpg,0,0,True,4.0,0,True
0.0,12,2146,6.159738567133174,47.75744888161438,4.0,2146,923553691660,complex,VG_100K/2355369.jpg,0,0,True,4.0,0,True
0.0,13,3749,6.152141649067778,46.22593021830303,4.0,3749,9235312811787,complex,VG_100K/2353128.jpg,0,0,True,4.0,0,True
0.0,14,132,6.146032795399008,49.19767271170568,4.0,132,30146964,simple,VG_100K/2339008.jpg,0,0,True,4.0,0,True
0.0,15,3967,6.116843544495541,47.19132797247142,4.0,3967,923411106264,complex,VG_100K/2341110.jpg,0,0,True,4.0,0,True
0.0,16,3111,6.086840873296965,46.561435231006065,4.0,3111,9241287117738,complex,VG_100K_2/2412871.jpg,0,0,True,4.0,0,True
0.0,17,3099,6.033289807174018,48.11867522002697,4.0,3099,9236401417353,complex,VG_100K/2364014.jpg,0,0,True,4.0,0,True
0.0,18,2330,5.994059854921952,47.818518088060735,4.0,2330,923255793248,complex,VG_100K/2325579.jpg,0,0,True,4.0,0,True
0.0,19,2093,5.993505059661346,47.67275006801345,4.0,2093,9236891413485,complex,VG_100K/2368914.jpg,0,0,True,4.0,0,True
0.0,20,2665,5.98934176258114,46.118995875283574,4.0,2665,92334380549,complex,VG_100K/2334380.jpg,0,0,True,4.0,0,True
1.5,1,3825,15933.953075236786,50767.307081733765,4.0,3825,9241017512009,complex,VG_100K_2/2410175.jpg,0,15,False,4.0,15,False
1.5,2,2176,14348.13667583976,44648.298819995645,4.0,2176,923663838746,complex,VG_100K/2366383.jpg,0,15,False,4.0,6,False
1.5,3,306,13911.010967046683,44304.755558956,4.0,306,30123092,simple,VG_100K_2/2378989.jpg,4,15,False,4.0,15,False
1.5,4,1369,10148.658786942195,37666.616710049784,4.0,1369,30142045,simple,VG_100K/2347112.jpg,4,14,False,4.0,15,False
1.5,5,1920,8668.884584660887,28446.65214342664,4.0,1920,30131052,simple,VG_100K/2365743.jpg,1,15,False,4.0,15,False
1.5,6,277,5964.447592947221,19258.051671444435,4.0,277,30140862,simple,VG_100K/2349135.jpg,1,15,False,4.0,1,True
1.5,7,3443,5074.524449394863,18990.658248129766,4.0,3443,923458667903,complex,VG_100K/2345866.jpg,3,14,False,4.0,15,False
1.5,8,3308,4603.815633033067,22403.0999542175,4.0,3308,923478582543,complex,VG_100K/2347858.jpg,11,12,False,4.0,14,False
1.5,9,2401,4488.03656468048,15669.994354107572,4.0,2401,923342312037,complex,VG_100K/2334231.jpg,13,9,False,4.0,12,False
1.5,10,2292,3327.138503172252,11391.03840913032,4.0,2292,923174202690,complex,VG_100K/2317420.jpg,2,7,False,4.0,7,False
1.5,11,1379,2999.2653869144506,20207.651864260653,4.0,1379,30113474,simple,VG_100K_2/2393831.jpg,15,13,False,4.0,15,True
1.5,12,2125,2516.8717114855394,8206.54531737096,4.0,2125,923552869230,complex,VG_100K/2355286.jpg,0,6,False,4.0,6,False
1.5,13,1782,1767.7095183103509,7054.401956750212,4.0,1782,30129134,simple,VG_100K/2369040.jpg,1,9,False,4.0,15,False
1.5,14,2575,1603.7313236951445,6615.754217061826,4.0,2575,923994239737,complex,VG_100K_2/2399423.jpg,0,6,False,4.0,6,False
1.5,15,703,1550.4509249979735,5034.0706393062865,4.0,703,30128626,simple,VG_100K/2369835.jpg,0,0,True,4.0,0,True
1.5,16,2258,1477.148154523584,4655.86184657818,4.0,2258,923424088290,complex,VG_100K/2342408.jpg,0,0,True,4.0,0,True
1.5,17,2650,1367.93162453214,4585.907263257623,4.0,2650,92335201195,complex,VG_100K/2335201.jpg,0,0,True,4.0,0,True
1.5,18,2792,1232.905486822186,3678.7958161301563,4.0,2792,923590923685,complex,VG_100K/2359092.jpg,4,6,False,4.0,6,False
1.5,19,3357,1231.2106680138427,4544.26415430889,4.0,3357,9240154320994,complex,VG_100K_2/2401543.jpg,10,6,False,4.0,6,False
1.5,20,3135,1188.8524290576338,3558.8078803041726,4.0,3135,9234253210075,complex,VG_100K/2342532.jpg,15,3,False,4.0,6,False
2.0,1,3825,29847.1267242742,50767.307081733765,4.0,3825,9241017512009,complex,VG_100K_2/2410175.jpg,0,15,False,4.0,15,False
2.0,2,2176,26555.65153231757,44648.298819995645,4.0,2176,923663838746,complex,VG_100K/2366383.jpg,0,15,False,4.0,6,False
2.0,3,306,26053.91180047867,44304.755558956,4.0,306,30123092,simple,VG_100K_2/2378989.jpg,4,15,False,4.0,15,False
2.0,4,1369,20581.777188213026,37666.616710049784,4.0,1369,30142045,simple,VG_100K/2347112.jpg,4,14,False,4.0,15,False
2.0,5,1920,16478.52142477918,28446.65214342664,4.0,1920,30131052,simple,VG_100K/2365743.jpg,1,15,False,4.0,15,False
2.0,6,277,11238.122875896968,19258.051671444435,4.0,277,30140862,simple,VG_100K/2349135.jpg,1,15,False,4.0,1,True
2.0,7,3308,10868.701243147465,22403.0999542175,4.0,3308,923478582543,complex,VG_100K/2347858.jpg,11,12,False,4.0,14,False
2.0,8,3443,10336.155474564,18990.658248129766,4.0,3443,923458667903,complex,VG_100K/2345866.jpg,3,14,False,4.0,15,False
2.0,9,1379,8743.041582118714,20207.651864260653,4.0,1379,30113474,simple,VG_100K_2/2393831.jpg,15,13,False,4.0,15,True
2.0,10,2401,8700.948779578062,15669.994354107572,4.0,2401,923342312037,complex,VG_100K/2334231.jpg,13,9,False,4.0,12,False
2.0,11,2292,6328.598403286677,11391.03840913032,4.0,2292,923174202690,complex,VG_100K/2317420.jpg,2,7,False,4.0,7,False
2.0,12,2125,4642.842668244516,8206.54531737096,4.0,2125,923552869230,complex,VG_100K/2355286.jpg,0,6,False,4.0,6,False
2.0,13,1782,3661.5861967970886,7054.401956750212,4.0,1782,30129134,simple,VG_100K/2369040.jpg,1,9,False,4.0,15,False
2.0,14,2575,3324.351725093408,6615.754217061826,4.0,2575,923994239737,complex,VG_100K_2/2399423.jpg,0,6,False,4.0,6,False
2.0,15,703,2668.6835082486446,5034.0706393062865,4.0,703,30128626,simple,VG_100K/2369835.jpg,0,0,True,4.0,0,True
2.0,16,2258,2527.5909722236433,4655.86184657818,4.0,2258,923424088290,complex,VG_100K/2342408.jpg,0,0,True,4.0,0,True
2.0,17,3357,2388.339002362172,4544.26415430889,4.0,3357,9240154320994,complex,VG_100K_2/2401543.jpg,10,6,False,4.0,6,False
2.0,18,2650,2325.814804624378,4585.907263257623,4.0,2650,92335201195,complex,VG_100K/2335201.jpg,0,0,True,4.0,0,True
2.0,19,2792,2171.0194935810223,3678.7958161301563,4.0,2792,923590923685,complex,VG_100K/2359092.jpg,4,6,False,4.0,6,False
2.0,20,3135,2109.108775219653,3558.8078803041726,4.0,3135,9234253210075,complex,VG_100K/2342532.jpg,15,3,False,4.0,6,False
4.0,1,3825,50767.307081733765,50767.307081733765,4.0,3825,9241017512009,complex,VG_100K_2/2410175.jpg,0,15,False,4.0,15,False
4.0,2,2176,44648.298819995645,44648.298819995645,4.0,2176,923663838746,complex,VG_100K/2366383.jpg,0,15,False,4.0,6,False
4.0,3,306,44304.755558956,44304.755558956,4.0,306,30123092,simple,VG_100K_2/2378989.jpg,4,15,False,4.0,15,False
4.0,4,1369,37666.616710049784,37666.616710049784,4.0,1369,30142045,simple,VG_100K/2347112.jpg,4,14,False,4.0,15,False
4.0,5,1920,28446.65214342664,28446.65214342664,4.0,1920,30131052,simple,VG_100K/2365743.jpg,1,15,False,4.0,15,False
4.0,6,3308,22403.0999542175,22403.0999542175,4.0,3308,923478582543,complex,VG_100K/2347858.jpg,11,12,False,4.0,14,False
4.0,7,1379,20207.651864260653,20207.651864260653,4.0,1379,30113474,simple,VG_100K_2/2393831.jpg,15,13,False,4.0,15,True
4.0,8,277,19258.051671444435,19258.051671444435,4.0,277,30140862,simple,VG_100K/2349135.jpg,1,15,False,4.0,1,True
4.0,9,3443,18990.658248129766,18990.658248129766,4.0,3443,923458667903,complex,VG_100K/2345866.jpg,3,14,False,4.0,15,False
4.0,10,2401,15669.994354107572,15669.994354107572,4.0,2401,923342312037,complex,VG_100K/2334231.jpg,13,9,False,4.0,12,False
4.0,11,2292,11391.03840913032,11391.03840913032,4.0,2292,923174202690,complex,VG_100K/2317420.jpg,2,7,False,4.0,7,False
4.0,12,2125,8206.54531737096,8206.54531737096,4.0,2125,923552869230,complex,VG_100K/2355286.jpg,0,6,False,4.0,6,False
4.0,13,1782,7054.401956750212,7054.401956750212,4.0,1782,30129134,simple,VG_100K/2369040.jpg,1,9,False,4.0,15,False
4.0,14,2575,6615.754217061826,6615.754217061826,4.0,2575,923994239737,complex,VG_100K_2/2399423.jpg,0,6,False,4.0,6,False
4.0,15,1311,6011.62707553152,6011.62707553152,4.0,1311,30151066,simple,VG_100K/2332177.jpg,8,11,False,4.0,15,False
4.0,16,703,5034.0706393062865,5034.0706393062865,4.0,703,30128626,simple,VG_100K/2369835.jpg,0,0,True,4.0,0,True
4.0,17,2258,4655.86184657818,4655.86184657818,4.0,2258,923424088290,complex,VG_100K/2342408.jpg,0,0,True,4.0,0,True
4.0,18,2650,4585.907263257623,4585.907263257623,4.0,2650,92335201195,complex,VG_100K/2335201.jpg,0,0,True,4.0,0,True
4.0,19,3357,4544.26415430889,4544.26415430889,4.0,3357,9240154320994,complex,VG_100K_2/2401543.jpg,10,6,False,4.0,6,False
4.0,20,2180,3802.143835103765,3802.143835103765,4.0,2180,923642236347,complex,VG_100K/2364223.jpg,0,7,False,4.0,13,False
