manifest_index,sample_id,split,question,question_sha256,answer_text,answer_int,file_name,image_sha256,image_size_bytes,metadata_width,metadata_height,actual_width,actual_height,image_format,dataset_revision
0,holocount_atomic_counting_00001,Atomic Counting,How many giraffe are there in the image?,5eef75c2a8f8e23b32e4914a2809257feaac5f3d565fa785b18e2085d0b276c4,1,1,images/holocount_atomic_counting_00001.jpg,3cc998b345ab7369963e8fb056a8ec584358218bfc3bcd440d4efcee1dfa1545,130030,500,343,500,343,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
1,holocount_atomic_counting_00002,Atomic Counting,How many cat are there in the image?,8b1e215b075644446c9e2c21ff3ed90eca5778d1b2f2b3732cefb0c73ee6a687,1,1,images/holocount_atomic_counting_00002.jpg,8b26f422b43af9e887ae622128026b7c2b8d1e7fdddf336cef0c282dd82a46fb,100557,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
2,holocount_atomic_counting_00003,Atomic Counting,How many ski_boot are there in the image?,d883d22c0f314ff409077d322f906370d921067322f1e91023f4cfec51d6bcda,2,2,images/holocount_atomic_counting_00003.jpg,a346ad3548ff5307f906a932683a9bd8c99ed6e750608e2fc8ad2ed023119095,183269,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
3,holocount_atomic_counting_00004,Atomic Counting,How many polo_shirt are there in the image?,6ff69231c6c012d69edbe076744a2cf894a67b864b82036d1b34884e768a7d65,1,1,images/holocount_atomic_counting_00004.jpg,3b94cfc13486f4865c165b77aa79a82ccddaa8f425662b4492327b4e87f8354a,161157,427,640,427,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
4,holocount_atomic_counting_00005,Atomic Counting,How many trousers are there in the image?,99353d39ee843f4d0a2bb2af10583bb0a3824a0a4df7197046e036877487f390,3,3,images/holocount_atomic_counting_00005.jpg,b58a335983fb29eab8f08f9160f2e1c6961428a5b7112d8600bd81818afe84d1,190399,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
5,holocount_atomic_counting_00006,Atomic Counting,How many wine_bottle are there in the image?,b53b9d2934989ce7d13b8a90f706bd7f09a674eda130004b24ad7e2d0d710866,3,3,images/holocount_atomic_counting_00006.jpg,030a509a4e74b0fc56052cab4735a2b257ca5cb0d6f8bb9d7cecd4af07228af9,107076,386,640,386,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
6,holocount_atomic_counting_00007,Atomic Counting,How many elephant are there in the image?,7aaf040cd041b408394ac614ec80600dde90c6edff1b1971141c882fc36c6c78,5,5,images/holocount_atomic_counting_00007.jpg,905f952c33eb14a826c663d6a0c6568bb4a422586971ac570b70773e0e8f8e0f,193753,640,428,640,428,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
7,holocount_atomic_counting_00008,Atomic Counting,How many pineapple are there in the image?,29d14d13769aa0085fc1c920cfddbb133c6a9e280571524ca243918eceb2a751,5,5,images/holocount_atomic_counting_00008.jpg,417fd1dedc3ab0c01fbf4d1df3d8dd2700de025379252dab91d9c9d8c79f203c,196758,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
8,holocount_atomic_counting_00009,Atomic Counting,How many shirt are there in the image?,7b37698d5ff7c95e49d4534c83832e8a1a8cb15c16c5bda6a605347bafaa83e3,1,1,images/holocount_atomic_counting_00009.jpg,51849aaec0ff64ffb58c96c3a629a10d4bd3b157d0c064acb5d6765f14510263,202397,500,338,500,338,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
9,holocount_atomic_counting_00010,Atomic Counting,How many helmet are there in the image?,6fbe0bcc8a5fa080b6d9940c3d01b6087906ec65667a5e9f4eafdee88d3e7774,6,6,images/holocount_atomic_counting_00010.jpg,604e1fbdd731839726486d2a3f514d1444d3aca96ca65a7d3945a5f1041396ed,209403,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
10,holocount_atomic_counting_00011,Atomic Counting,How many cowboy_hat are there in the image?,56b0a8f17b9047302d8a466e7b2d4f35463d720eae05426e66ad701135f83041,1,1,images/holocount_atomic_counting_00011.jpg,b3bd6c18defe9acb619bcc676859a782ce3c2ca141ee93f07ef748bd36a133f6,149825,640,427,640,427,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
11,holocount_atomic_counting_00012,Atomic Counting,How many umbrella are there in the image?,3abf79a6d3de0022c48557ecf94ddd6f21d5464a1ee99daa3a0a876329489d7c,5,5,images/holocount_atomic_counting_00012.jpg,03f5704ae3ba15f6ec35a9c94699ec9eadaa515ae8a89450f827eee001eb4558,204682,640,427,640,427,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
12,holocount_atomic_counting_00013,Atomic Counting,How many mug are there in the image?,306662c6ed24409d4646aadc6ce5a711f311408fc442a13fcd00ae053d0ad1f6,4,4,images/holocount_atomic_counting_00013.jpg,fd565f564effc1f63a944569f01f2d5c0f01d892577fe0be4012b974256f8a3a,180216,612,612,612,612,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
13,holocount_atomic_counting_00014,Atomic Counting,How many egg are there in the image?,7a3357e1992908c9784ebd43d2c6dccc5b4289a8deaeacee531e0945d8e6a620,12,12,images/holocount_atomic_counting_00014.jpg,37fe546a896893acdd6af4b2fd8eb9c6a56cab3f2edcfe687780a579745c430f,121136,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
14,holocount_atomic_counting_00015,Atomic Counting,How many muffin are there in the image?,b972c3f29cd781be9ce65691236779dee1d4bd02bfecabda1ab22459020f064d,1,1,images/holocount_atomic_counting_00015.jpg,b0f6a381bc1e8b741787a129946dff2524bb530eda3f15b6af1bbfd3061c217a,27807,288,160,288,160,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
15,holocount_atomic_counting_00016,Atomic Counting,How many scissors are there in the image?,00470ef7a2a29794e5ac6addbda8f0ff79c32a4a5b905a82e9f32f39029ac774,12,12,images/holocount_atomic_counting_00016.jpg,c61812bf4730fee6760b969c54bd52712a4893f96e0d9d3b64558f6e7549cfbf,206655,640,481,640,481,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
16,holocount_atomic_counting_00017,Atomic Counting,How many coaster are there in the image?,ca6e064e1aea61664cec4f936539281c698eefa637dbeaa3b867ef9bdcb46341,1,1,images/holocount_atomic_counting_00017.jpg,339f27367484fcbe52320570a985448dc0314a584b0b86ac0b25d1462324f8f0,114703,480,640,480,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
17,holocount_atomic_counting_00018,Atomic Counting,How many laptop_computer are there in the image?,f0c0ed9dffdd028c1bf5041a01378372ef005e8cdc66cfc83b4049f9026cf1fb,1,1,images/holocount_atomic_counting_00018.jpg,d9807de9aba9567959e446e5eeeb3f7a13baf62b7bfc050d1d0172995657903b,152816,640,424,640,424,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
18,holocount_atomic_counting_00019,Atomic Counting,How many poster are there in the image?,f497a9abf6d205e95dbbac4154a08bb882ff01c47f0dca43bf81f68f425e1152,1,1,images/holocount_atomic_counting_00019.jpg,1530bdca15972856d2a0728e05a7133304a3d1382cdb6504c3345b637dbe6aef,94241,480,640,480,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
19,holocount_atomic_counting_00020,Atomic Counting,How many clock_tower are there in the image?,ae56a74209819b8266620c0a6576c8f8480f6ae55b19980e2693afe911f5d54c,1,1,images/holocount_atomic_counting_00020.jpg,e64bfadb45b54f43fd70b41d971edfccbb2f4e2f682d8d333c60a51f4186f823,236707,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
20,holocount_atomic_counting_00021,Atomic Counting,How many toothbrush are there in the image?,594348fe09176083b8155c354159393586203ec821777ca772ab569f288f6046,1,1,images/holocount_atomic_counting_00021.jpg,7e6ee2054300af859031227a9101b8c166b52b6bfa0dc915b5e5a4cb041340e9,56557,427,640,427,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
21,holocount_atomic_counting_00022,Atomic Counting,How many elephant are there in the image?,7aaf040cd041b408394ac614ec80600dde90c6edff1b1971141c882fc36c6c78,5,5,images/holocount_atomic_counting_00022.jpg,f6022f099bee06ab9c2ab7a3a5ec691efa20d192e13f3be6a09f3e725818bdfa,243125,640,480,640,480,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
22,holocount_atomic_counting_00023,Atomic Counting,How many plate are there in the image?,32ca59d65440a0341a18585d2a404ac085bc1e3edf89c13c1424ae90adb9784a,12,12,images/holocount_atomic_counting_00023.jpg,d94cebe636a3f79c082402fc8e4b03d93eabec0b59eb43b0cd2845e68d9e9b7b,167089,431,640,431,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
23,holocount_atomic_counting_00024,Atomic Counting,How many beer_bottle are there in the image?,997fb7603a9d9dfbf94927919fbd0072b54e984db5679041f8db171aac7294f1,7,7,images/holocount_atomic_counting_00024.jpg,3d5c734e7e76a294143c561c8d6b3613544cdb89d0e91b36433eace5ea7c2eb7,193981,480,640,480,640,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
24,holocount_atomic_counting_00025,Atomic Counting,How many snowboard are there in the image?,fcdf1846c3b6466957bb7ccdc3a4eee6a9c37937cb1eb4a018908dd6f9256d23,1,1,images/holocount_atomic_counting_00025.jpg,c9b304b404d9420595c45e7f625dc77b3ea982410022430ecfa7f4f642ef7d6b,107244,332,500,332,500,JPEG,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
