manifest_index,sample_id,split,question,question_sha256,file_name,image_sha256,actual_width,actual_height,dataset_revision
1156,holocount_joint_set_aggregation_00005,Joint-Set Aggregation,What is the total number of trainers and dolphins visible in the foreground area?,1dd3245e6264a1c31c9354c5e2b4b8a660a8631c2c585417b21e86be15e45b0c,images/holocount_joint_set_aggregation_00005.jpg,ab88d2605e7081d3635bbb86982a2b5eba89ea92b9152fc574fd6162e929f6f2,1023,685,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
1726,holocount_small_scale_enumeration_00064,Small-Scale Enumeration,How many cup are there in the image?,12e12fe552984adcb28e30fdb212a413e6859f209af79c74e8776aa3d7a9eabd,images/holocount_small_scale_enumeration_00064.jpg,edad6c382c80eea9c1baaa0655149a7a53304cb765e9a7262140e10340ae4ec7,770,512,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
2,holocount_atomic_counting_00003,Atomic Counting,How many ski_boot are there in the image?,d883d22c0f314ff409077d322f906370d921067322f1e91023f4cfec51d6bcda,images/holocount_atomic_counting_00003.jpg,a346ad3548ff5307f906a932683a9bd8c99ed6e750608e2fc8ad2ed023119095,640,480,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
438,holocount_material_attribution_00055,Material Attribution,How many metal handles are visible on the cabinet doors?,942a5c8c5e4d897003e72d6ef741226ac570e7b335b0b045a488f63f993a9895,images/holocount_material_attribution_00055.jpg,6cab5b1dfc5130effd3176ea3ab1c55a636e1b3f8460f2f46b0c9920659a5d64,500,334,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
841,holocount_visual_prompt_region_grounding_00054,Visual-Prompt Region Grounding,How many drawers are there in the red rectangle?,d181750b4eb0e49e64b50e5ec3f407e866aac89139155fd217fc68db81fae884,images/holocount_visual_prompt_region_grounding_00054.jpg,4666dee9864276c0351957fe00b1eb3a039549d5bc16dfc53d65a77e7498e9d5,640,480,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
2404,holocount_visual_distractor_illusion_00125,Visual Distractor Illusion,How many canisters are there in the picture?,cd15cc32cd6039661967eab59b2e9259bd5900fdae8995fea3dcb1c7553ad683,images/holocount_visual_distractor_illusion_00125.jpg,d01ae432122f9174c2f7b972b2f5111819db3ea1a847f60e4e04a553301223a3,1328,1328,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
1309,holocount_complementary_exclusion_00058,Complementary Exclusion,"Excluding the highest two windows, how many windows are visible on the second floor of the main brick building?",b914db8ab47d27f470dcd8a27f585c3ca69cc3e723d59e9786dffa03c3a0f24a,images/holocount_complementary_exclusion_00058.jpg,fc9984227938bf0fc4388e6657391174a71821a0b59989e8f8e057577a86fa62,1024,826,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
1499,holocount_high_density_enumeration_00046,High-Density Enumeration,How many snowflakes are in this image?,3c3be5f790ee297922ac4053b6198341a2c4e6ff282f940e8d01e2821147d832,images/holocount_high_density_enumeration_00046.png,7e6d2ef3e853939853c5a1bc8ccb0790324592ff786a81e2f884c777185f0b83,1024,1024,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
305,holocount_chromatic_attribution_00124,Chromatic Attribution,How many golden potatoes are in the small black skillet?,9c90781dd8792f78e7e5450f56f21b4ea3c91bd4e7ceb6a8e24cbff3665fe38a,images/holocount_chromatic_attribution_00124.jpg,dcbd3553b05025fe5cdd45af0dc8607c8e76063e635b03e29071efda3d3ab995,1024,768,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
317,holocount_chromatic_attribution_00136,Chromatic Attribution,How many birds have reddish-brown heads?,2b413b2a06227b9e8af73babe148f27c73ab29fbdd484a97fb9ea1a1018c6299,images/holocount_chromatic_attribution_00136.jpg,941017c5d427e12752d6a30f0cda164a68efbfb7aeb2f5902bf3b3e036992125,500,375,f44cfe591e8f7e64b63a2fb080b98bffa10b45aa
